Comment,Designator,Footprint,LCSC
"KH-3216-H0209","AE1","Resistor_SMD:R_1206_3216Metric","C2925417"
"100n_0402_X7R_16V","C1,C4,C5,C7,C11","Capacitor_SMD:C_0402_1005Metric","C1525"
"1u_0402_X5R_25V","C10,C14,C15,C18","Capacitor_SMD:C_0402_1005Metric","C52923"
"10n_0402_X7R_50V","C12,C13","Capacitor_SMD:C_0402_1005Metric","C15195"
"10p_0402_C0G_50V","C16,C17","Capacitor_SMD:C_0402_1005Metric","C1634"
"10u_0402_X5R_6V3","C2,C9","Capacitor_SMD:C_0402_1005Metric","C15525"
"3p3_0402_C0G_50V","C3,C6","Capacitor_SMD:C_0402_1005Metric","C1565"
"4u7_0402_X5R_10V","C8","Capacitor_SMD:C_0402_1005Metric","C23733"
"0603_RED","D1","LED_SMD:LED_0603_1608Metric","C2286"
"1N5819WS(Basic)","D2,D3","Diode_SMD:D_SOD-323_HandSoldering","C191023"
"BattConn+","J1","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"BattConn-","J2","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical",""
"2n2H_0403_500mA","L1","Resistor_SMD:R_0402_1005Metric","C76790"
"2nH_0403_900mA","L2","Resistor_SMD:R_0402_1005Metric","C18216"
"5k1_0402","R1,R2,R3,R6,R7,R8","Resistor_SMD:R_0402_1005Metric","C25905"
"3k3_0402","R4,R5","Resistor_SMD:R_0402_1005Metric","C25890"
"TAK_6mm_THT","SW1","Button_Switch_THT:SW_PUSH_6mm_H5mm","C2888545"
"USB-C-16P-SMD","U1","DPSConnector:USB-C-MC-311D","C136423"
"XT4052K421MR-G","U2","Package_TO_SOT_SMD:TSOT-23-5","C219048"
"ESP32-C3","U3","ESP32-C3:ESP32-C3","C2848860"
"RS3236-3.3YF5","U4","Package_TO_SOT_SMD:SOT-23-5","C379349"
"DPS_I2C","X1","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","C722775"
"40MHz_S3240000151040","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C426990"
