Designator,Mid X,Mid Y,Layer,Rotation
C1,51.30,-9.20,T,0.00
C2,52.20,-5.70,T,270.00
C3,54.20,-7.70,T,270.00
C4,47.88,4.35,T,0.00
C5,48.40,-1.40,T,270.00
C6,51.30,-7.75,T,270.00
C7,51.25,-5.70,T,270.00
C8,40.50,0.75,T,180.00
C9,44.40,3.85,T,90.00
C10,39.00,3.85,T,90.00
C11,44.00,-3.20,T,90.00
C12,37.60,-0.00,T,90.00
C13,43.00,-3.20,T,90.00
C14,54.00,-3.30,T,90.00
C16,50.90,-10.67,T,270.00
C17,45.70,-10.60,T,90.00
D1,41.40,-6.49,T,90.00
D2,34.90,9.20,T,90.00
D3,41.70,9.30,T,90.00
J2,46.90,8.05,T,180.00
J3,54.02,8.65,T,180.00
L1,52.80,-7.25,T,180.00
Q1,36.10,-0.00,T,270.00
R1,53.00,-3.30,T,270.00
R2,40.40,-4.00,T,90.00
R3,40.40,-11.40,T,270.00
R4,46.00,4.35,T,0.00
R5,41.50,-2.50,T,0.00
R6,46.60,-1.40,T,270.00
R7,43.50,-6.49,T,180.00
R8,43.49,-7.50,T,180.00
R9,59.40,8.60,T,270.00
R10,59.40,6.60,T,90.00
R11,38.80,1.35,T,270.00
R12,43.50,-5.49,T,180.00
R13,36.10,-1.50,T,0.00
R14,38.10,-1.50,T,0.00
R15,34.70,-0.00,T,270.00
R16,42.90,0.75,T,0.00
R17,40.40,9.80,T,270.00
R18,38.00,3.85,T,90.00
R19,52.00,-3.30,T,270.00
R20,44.40,1.94,T,270.00
R21,36.30,9.70,T,270.00
SW2,51.60,1.70,T,270.00
U1,34.32,-7.41,T,270.00
U2,35.40,4.25,T,180.00
U3,47.60,-5.50,T,180.00
U4,41.70,3.40,T,180.00
U5,47.10,1.75,T,270.00
Y1,48.30,-10.40,T,180.00
