Designator,Mid X,Mid Y,Layer,Rotation
C1,53.85,-3.20,T,180.00
C2,52.85,-5.00,T,0.00
C3,54.60,-7.75,T,270.00
C4,54.35,-5.50,T,270.00
C5,47.75,-1.75,T,0.00
C6,51.60,-7.75,T,270.00
C7,51.35,-5.50,T,270.00
C11,44.10,-1.35,T,90.00
C12,50.70,-9.25,T,0.00
C14,45.10,-1.35,T,90.00
C15,52.35,-9.75,T,90.00
C16,50.22,-10.87,T,270.00
C17,44.95,-10.63,T,90.00
C19,48.55,10.95,T,0.00
C20,49.73,8.20,T,0.00
C21,43.11,8.20,T,180.00
D1,49.50,2.70,T,0.00
D4,36.90,13.90,T,0.00
D5,41.90,13.90,T,0.00
J1,36.47,-7.70,T,90.00
J2,39.42,10.10,T,270.00
L1,53.10,-7.25,T,180.00
L2,52.85,-6.00,T,180.00
R1,52.35,-2.70,T,90.00
R2,41.55,2.70,T,90.00
R3,41.30,-2.70,T,270.00
R4,43.09,7.20,T,0.00
R5,46.90,11.42,T,270.00
R6,51.30,-2.70,T,90.00
R7,40.40,-7.40,T,90.00
R8,40.40,-9.90,T,270.00
R9,44.15,13.90,T,90.00
R10,39.15,13.90,T,90.00
R11,43.55,10.95,T,90.00
R12,43.09,9.45,T,180.00
R13,44.50,1.00,B,270.00
R14,49.40,4.40,T,180.00
R15,50.30,9.45,T,0.00
R16,45.80,4.95,T,90.00
R17,44.30,5.40,T,180.00
R18,45.30,11.39,T,90.00
R19,51.40,2.80,T,90.00
R21,49.70,1.00,T,0.00
SW2,56.40,11.20,T,0.00
U1,35.22,0.71,T,270.00
U2,46.30,8.20,T,0.00
U3,47.60,-5.50,T,180.00
Y1,47.60,-10.55,T,180.00
